;origin;destination;distance;mode;duration;walktime;transfers;route
0;"{""lat"": 48.912484, ""lon"": 2.384493, ""zipcode"": 93300, ""commune"": ""AUBERVILLIERS"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.932453, ""lon"": 2.581481, ""zipcode"": 93410, ""commune"": ""VAUJOURS"", ""departement"": ""SEINE-SAINT-DENIS""}";14.562986628816335;WALK,TRANSIT;3627.0;1730.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""643"", ""agencyName"": ""Seine-Saint-Denis""}]"
1;"{""lat"": 48.912484, ""lon"": 2.384493, ""zipcode"": 93300, ""commune"": ""AUBERVILLIERS"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.932453, ""lon"": 2.581481, ""zipcode"": 93410, ""commune"": ""VAUJOURS"", ""departement"": ""SEINE-SAINT-DENIS""}";14.562986628816335;CAR;3022.6;0.0;0.0;[]
2;"{""lat"": 48.874921, ""lon"": 2.485994, ""zipcode"": 93110, ""commune"": ""ROSNY SOUS BOIS"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.83625, ""lon"": 2.56459, ""zipcode"": 93160, ""commune"": ""NOISY LE GRAND"", ""departement"": ""SEINE-SAINT-DENIS""}";7.180193009359541;WALK,TRANSIT;2409.0;1634.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""E"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}]"
3;"{""lat"": 48.985464, ""lon"": 2.350471, ""zipcode"": 95410, ""commune"": ""GROSLAY"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.909519, ""lon"": 2.333484, ""zipcode"": 93400, ""commune"": ""ST OUEN SUR SEINE"", ""departement"": ""SEINE-SAINT-DENIS""}";8.535327320299869;WALK,TRANSIT;2360.0;809.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""H"", ""agencyName"": ""TRAIN""}, {""mode"": ""BUS"", ""route"": ""274"", ""agencyName"": ""RATP""}]"
4;"{""lat"": 48.985464, ""lon"": 2.350471, ""zipcode"": 95410, ""commune"": ""GROSLAY"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.909519, ""lon"": 2.333484, ""zipcode"": 93400, ""commune"": ""ST OUEN SUR SEINE"", ""departement"": ""SEINE-SAINT-DENIS""}";8.535327320299869;CAR;3150.1;0.0;0.0;[]
5;"{""lat"": 48.83625, ""lon"": 2.56459, ""zipcode"": 93160, ""commune"": ""NOISY LE GRAND"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.828406, ""lon"": 2.362248, ""zipcode"": 75013, ""commune"": ""PARIS 13"", ""departement"": ""PARIS""}";14.836222252321553;WALK,TRANSIT;3248.0;1646.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""14"", ""agencyName"": ""METRO""}]"
6;"{""lat"": 48.83625, ""lon"": 2.56459, ""zipcode"": 93160, ""commune"": ""NOISY LE GRAND"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.828406, ""lon"": 2.362248, ""zipcode"": 75013, ""commune"": ""PARIS 13"", ""departement"": ""PARIS""}";14.836222252321553;CAR;2475.2;0.0;0.0;[]
7;"{""lat"": 48.785817, ""lon"": 2.539501, ""zipcode"": 94490, ""commune"": ""ORMESSON SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.872719, ""lon"": 2.312554, ""zipcode"": 75008, ""commune"": ""PARIS 08"", ""departement"": ""PARIS""}";19.21851906604683;WALK,TRANSIT;4524.0;902.0;2.0;"[{""mode"": ""BUS"", ""route"": ""308"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""9"", ""agencyName"": ""METRO""}]"
8;"{""lat"": 48.785817, ""lon"": 2.539501, ""zipcode"": 94490, ""commune"": ""ORMESSON SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.872719, ""lon"": 2.312554, ""zipcode"": 75008, ""commune"": ""PARIS 08"", ""departement"": ""PARIS""}";19.21851906604683;CAR;5737.5;0.0;0.0;[]
9;"{""lat"": 48.719934, ""lon"": 2.463089, ""zipcode"": 91560, ""commune"": ""CROSNE"", ""departement"": ""ESSONE""}";"{""lat"": 48.847569, ""lon"": 2.437668, ""zipcode"": 94300, ""commune"": ""VINCENNES"", ""departement"": ""VAL-DE-MARNE""}";14.314054319044015;WALK,TRANSIT;3702.0;1291.0;2.0;"[{""mode"": ""BUS"", ""route"": ""Inter-Vals"", ""agencyName"": ""Seine S\u00e9nart Bus""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""1"", ""agencyName"": ""METRO""}]"
